"","Name","Score2008","Score2014","Score2021","EarlyNAflag","LaterNAflag","Scorechange","lon","lat","address"
"84","Meadows Yard      , Edinburgh, Scotland",NA,65,71,NA,NA,6,-3.1337508,55.9652114,"meadows yard local nature reserve, fillyside rd, edinburgh eh15 1tb, uk"
"85","Meadowspot Park       , Edinburgh, Scotland",NA,48,67,NA,NA,19,-3.2277288,55.9245355,"meadowspot park, meadowspot, edinburgh eh10, uk"
"86","Montgomery Street Park         , Edinburgh, Scotland",NA,62,71,NA,NA,9,-3.1752681,55.9593821,"montgomery street park, 119 montgomery st, edinburgh eh7 5et, uk"
"87","Moredun Park      , Edinburgh, Scotland",NA,54,63,NA,NA,9,-3.1373304,55.9120684,"moredun park st, edinburgh eh17, uk"
"88","Morgan Playing Fields Recreation Ground     , Edinburgh, Scotland",NA,64,66,NA,NA,2,-3.154484,55.932438,"morgan playing fields, edinburgh eh16 5jw, uk"
"89","Morningside Park      , Edinburgh, Scotland",NA,72,76,NA,NA,4,-3.2128361,55.928982,"morningside park, edinburgh eh10, uk"
"90","Mortonhall       , Edinburgh, Scotland",NA,60,63,NA,NA,3,-3.1801623,55.903162,"mortonhall, edinburgh eh16 6tj, uk"
"91","Muir Wood Park       , Edinburgh, Scotland",NA,67,75,NA,NA,8,-3.3029097,55.9014804,"muir wood park, 55 muir wood rd, currie eh14 5je, uk"
"92","Muirhouse Linear Park     , Edinburgh, Scotland",NA,52,57,NA,NA,5,-3.253994,55.974636,"muirhouse, edinburgh eh4 4wf, uk"
"93","Murieston Park       , Edinburgh, Scotland",NA,62,75,NA,NA,13,-3.2269331,55.9403179,"murieston park, 10/15 murieston terrace, dalry, edinburgh eh11 2lh, uk"
"94","Newcraighall Park      , Edinburgh, Scotland",NA,55,68,NA,NA,13,-3.0900987,55.9342719,"newcraighall dr, edinburgh, newcraighall, musselburgh eh21, uk"
"95","Nicholson Square Garden     , Edinburgh, Scotland",NA,68,73,NA,NA,5,-3.1857742,55.9460948,"nicolson square, edinburgh eh8, uk"
"96","Orchard Brae Park     , Edinburgh, Scotland",NA,62,62,NA,NA,0,-3.2238513,55.9566417,"orchard brae, edinburgh eh4, uk"
"97","Parkside Newbridge     , Edinburgh, Scotland",NA,55,63,NA,NA,8,-3.4087432,55.938212,"parkside, newbridge eh28, uk"
"98","Paties Road Rec Ground City Park      , Edinburgh, Scotland",NA,50,69,NA,NA,19,-3.2468416,55.9142706,"paties rd, edinburgh, uk"
